word,count
ffeessttiivvaall,2
ppéénniinnssuullee,2
aaccaaddiieennnnee,2
iinncc,2
pprroodduuccttiioonn,1
ddrrooiittss,1
rreepprroodduuccttiioonn,1
rréésseerrvvééss,1
fables,17
jean,19
beq,2
livres,4
bibliothèque,6
électronique,6
québec,8
collection,4
vents,10
volume,3
503,2
version,2
20,3
outre,7
contes,7
constituent,2
gloire,13
essayé,2
genres,2
nombre,8
243,2
restent,2
chef,8
œuvre,3
certains,10
considèrent,2
copieur,2
rien,91
inventé,6
inspiré,2
anciennes,2
écrites,4
esope,1
horace,4
abstémius,2
phèdre,5
culture,4
grecque,2
panchatantra,2
pilpay,2
indienne,2
considérablement,2
améliorées,2
langue,9
simple,6
fable,19
sèche,2
démonstration,2
morale,4
court,18
récit,11
intrigue,2
rapide,2
vive,6
souplesse,4
naturel,6
style,4
réalité,2
fruit,4
travail,7
poète,5
manifesté,2
parfaite,3
maîtrise,2
vers,23
wikipedia,2
édition,2
référence,2
numérisation,2
adl,2
agence,2
livre,25
montréal,2
cigale,3
fourmi,12
ayant,33
été,10
dépourvue,2
bise,2
venue,4
morceau,8
mouche,14
vermisseau,1
crier,11
famine,2
priant,2
prêter,3
quelque,80
grain,6
subsister,2
saison,7
nouvelle,11
paierai,1
août,2
foi,18
animal,40
intérêt,3
principal,4
prêteuse,1
moindre,11
défaut,6
faisiez,1
emprunteuse,1
venant,4
chantais,1
déplaise,1
chantiez,1
aise,6
maintenant,3
corbeau,14
renard,46
maître,55
arbre,8
perché,1
tenait,7
odeur,7
alléché,1
tint,6
peu,68
langage,7
hé,1
êtes,16
semblez,1
mentir,3
ramage,3
rapporte,2
plumage,5
phénix,1
hôtes,8
mots,24
sent,8
joie,12
montrer,6
voix,24
large,5
tomber,11
proie,13
saisit,4
apprenez,1
flatteur,3
vit,34
dépens,3
celui,47
leçon,5
vaut,10
doute,8
honteux,3
confus,2
jura,4
tard,7
prendrait,2
veut,26
grosse,6
boeuf,2
bœuf,8
sembla,3
œuf,6
envieuse,1
étend,3
enfle,2
travaille,4
égaler,1
grosseur,3
disant,9
regardez,2
point,126
nenni,1
approchez,4
chétive,3
pécore,1
enfla,1
creva,1
monde,28
plein,22
gens,105
sages,3
bourgeois,6
bâtir,3
grands,15
seigneurs,7
ambassadeurs,2
marquis,1
pages,1
mulets,2
cheminaient,1
chargé,11
portant,7
gabelle,1
glorieux,2
charge,9
eût,39
beaucoup,26
soulagé,2
marchait,5
relevé,1
faisait,23
sonner,2
sonnette,1
ennemi,9
présentant,1
voulait,13
mulet,7
fisc,1
troupe,6
jette,4
frein,2
arrête,4
défendant,1
gémit,3
soupire,4
promis,5
suit,9
danger,10
retire,5
péris,2
emploi,6
avais,6
servi,4
serais,4
malade,10
loup,65
os,5
peau,18
faisaient,5
garde,5
rencontre,11
dogue,2
puissant,6
gras,10
poli,1
fourvoyé,1
mégarde,1
attaquer,2
quartiers,1
sire,18
volontiers,5
fallait,10
livrer,2
bataille,5
mâtin,3
défendre,6
hardiment,2
aborde,1
humblement,1
entre,40
propos,10
compliment,3
embonpoint,2
admire,1
tiendra,1
répartit,1
quittez,3
pareils,8
misérables,3
cancres,1
hères,1
pauvres,8
diables,1
dont,45
condition,4
faim,9
quoi,43
assuré,3
franche,1
lippée,1
pointe,2
épée,2
suivez,6
meilleur,8
destin,12
reprit,20
faudra,5
